sha,date,event,feature,line
e8bd3f629d435797c586726d3b76fd90d7b5bf08,2025-06-06,removed,UserNamespacesPodSecurityStandards,"-	UserNamespacesPodSecurityStandards featuregate.Feature = "UserNamespacesPodSecurityStandards""
7bbec73192abfb21b42ba8922d3f704d07424006,2025-10-30,added,VolumeLimitScaling,"+	VolumeLimitScaling featuregate.Feature = "VolumeLimitScaling""
30a6d4b389a6c6b10c5bd136216b47e55da3f18a,2025-10-13,added,CSIServiceAccountTokenSecrets,"+	CSIServiceAccountTokenSecrets featuregate.Feature = "CSIServiceAccountTokenSecrets""
715228f4789048e5e0fc9a232dbb89aeadf4cfa5,2025-10-12,removed,LoadBalancerIPMode,"-	LoadBalancerIPMode featuregate.Feature = "LoadBalancerIPMode""
b5297b18ab2a6a0096e417eda0cfc4261bdb1530,2025-10-12,removed,AllowServiceLBStatusOnNonLB,"-	AllowServiceLBStatusOnNonLB featuregate.Feature = "AllowServiceLBStatusOnNonLB""
413c34f3192b5d56fb7ee28d947dfaa57e69274d,2025-10-09,added,AuthorizePodWebsocketUpgradeCreatePermission,"+	AuthorizePodWebsocketUpgradeCreatePermission featuregate.Feature = "AuthorizePodWebsocketUpgradeCreatePermission""
96349a460886a47d06305900b7389dbaa36dbac6,2025-09-26,removed,DeclarativeValidation,"-	DeclarativeValidation featuregate.Feature = "DeclarativeValidation""
96349a460886a47d06305900b7389dbaa36dbac6,2025-09-26,removed,DeclarativeValidationTakeover,"-	DeclarativeValidationTakeover featuregate.Feature = "DeclarativeValidationTakeover""
7f4ee652eaa0b0782348304ea9fbf7a7f53a19ab,2025-07-28,removed,ProbeHostPodSecurityStandards,"-	ProbeHostPodSecurityStandards featuregate.Feature = "ProbeHostPodSecurityStandards""
46cc610e6fe7e9a933a13d77538b0c220c5414a6,2025-08-25,removed,PodIndexLabel,"-	PodIndexLabel featuregate.Feature = "PodIndexLabel""
36cf728281429ba90a52e7b6f3c2404acb97108c,2025-08-27,removed,SizeMemoryBackedVolumes,"-	SizeMemoryBackedVolumes featuregate.Feature = "SizeMemoryBackedVolumes""
09e357d31fd1ad79f79b4953e71edeb461231670,2025-08-25,removed,StatefulSetAutoDeletePVC,"-	StatefulSetAutoDeletePVC featuregate.Feature = "StatefulSetAutoDeletePVC""
a0a43e5f80e534994d8c88b90c340f23bc237ec6,2025-08-25,removed,CronJobsScheduledAnnotation,"-	CronJobsScheduledAnnotation featuregate.Feature = "CronJobsScheduledAnnotation""
5ad969588d5d79ad900d0c237398e0352d958a74,2025-07-24,added,DRAConsumableCapacity,"+	DRAConsumableCapacity featuregate.Feature = "DRAConsumableCapacity""
34a64db2c73d2819fd07096b1451d49b4463533c,2025-07-17,added,DRAExtendedResource,"+	DRAExtendedResource featuregate.Feature = "DRAExtendedResource""
60fa65db883522c496c1f589bcd87e746ce9c393,2025-07-01,added,ClearingNominatedNodeNameAfterBinding,"+	ClearingNominatedNodeNameAfterBinding featuregate.Feature = "ClearingNominatedNodeNameAfterBinding""
34c3b0938359a3a43d925c372edf089f911c8b2f,2025-07-29,added,DRADeviceBindingConditions,"+	DRADeviceBindingConditions featuregate.Feature = "DRADeviceBindingConditions""
af595a44aefcbf01dfad82c40af2e97346c938d9,2025-07-01,added,ContainerRestartRules,"+	ContainerRestartRules featuregate.Feature = "ContainerRestartRules""
27e16751538cb316f0c8b8f2384a9968df066baa,2025-07-24,added,ProbeHostPodSecurityStandards,"+	ProbeHostPodSecurityStandards featuregate.Feature = "ProbeHostPodSecurityStandards""
af6c97bd14fc0534730f6dd5c51bdbc51efe04de,2025-06-27,added,HostnameOverride,"+	HostnameOverride featuregate.Feature = "HostnameOverride""
6f3b6b91f08585727784620285f990782901572f,2025-07-23,added,EnvFiles,"+	EnvFiles featuregate.Feature = "EnvFiles""
4624cb9bb92186358e001be392e50e5d23b5cdd9,2024-08-30,added,PodCertificateRequest,"+	PodCertificateRequest featuregate.Feature = "PodCertificateRequest""
f71080c930e695b0e6a6771fdaba7ca059b3b2a2,2025-07-07,added,InPlacePodVerticalScalingExclusiveMemory,"+	InPlacePodVerticalScalingExclusiveMemory featuregate.Feature = "InPlacePodVerticalScalingExclusiveMemory""
ee38a00131107c0cd0af3270ec613dc670ef0b73,2025-07-15,added,DRASchedulerFilterTimeout,"+	DRASchedulerFilterTimeout featuregate.Feature = "DRASchedulerFilterTimeout""
1a7630c09799a7c39ae02e3f03f5e7add3089941,2025-04-25,removed,LegacySidecarContainers,"-	LegacySidecarContainers featuregate.Feature = "LegacySidecarContainers""
52fab5969cc806ce2dddaa2512fa55881117d90b,2025-07-16,added,NominatedNodeNameForExpectation,"+	NominatedNodeNameForExpectation featuregate.Feature = "NominatedNodeNameForExpectation""
bd30b0adef64e75c79041781dc4744758ea60551,2025-06-04,removed,DevicePluginCDIDevices,"-	DevicePluginCDIDevices featuregate.Feature = "DevicePluginCDIDevices""
bc56d0e45a24b24ca9727911a891275b81bae69b,2025-06-04,added,KubeletPodResourcesListUseActivePods,"+	KubeletPodResourcesListUseActivePods featuregate.Feature = "KubeletPodResourcesListUseActivePods""
1134220e011ab63ec6eb1d6baaefebfd0cecb21a,2025-06-14,added,RelaxedServiceNameValidation,"+	RelaxedServiceNameValidation featuregate.Feature = "RelaxedServiceNameValidation""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,MyFeature,"+// MyFeature featuregate.Feature = "MyFeature""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,MyFeature,"-	// MyFeature featuregate.Feature = "MyFeature""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,AllowInsecureKubeletCertificateSigningRequests,"+	AllowInsecureKubeletCertificateSigningRequests featuregate.Feature = "AllowInsecureKubeletCertificateSigningRequests""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,ClusterTrustBundle,"-	ClusterTrustBundle featuregate.Feature = "ClusterTrustBundle""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,ClusterTrustBundleProjection,"-	ClusterTrustBundleProjection featuregate.Feature = "ClusterTrustBundleProjection""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,ContainerStopSignals,"-	ContainerStopSignals featuregate.Feature = "ContainerStopSignals""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,CoordinatedLeaderElection,"-	CoordinatedLeaderElection featuregate.Feature = "CoordinatedLeaderElection""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,ClusterTrustBundle,"+	ClusterTrustBundle featuregate.Feature = "ClusterTrustBundle""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,ClusterTrustBundleProjection,"+	ClusterTrustBundleProjection featuregate.Feature = "ClusterTrustBundleProjection""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,ContainerStopSignals,"+	ContainerStopSignals featuregate.Feature = "ContainerStopSignals""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,CoordinatedLeaderElection,"+	CoordinatedLeaderElection featuregate.Feature = "CoordinatedLeaderElection""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,DRAAdminAccess,"+	DRAAdminAccess featuregate.Feature = "DRAAdminAccess""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,DRADeviceTaints,"+	DRADeviceTaints featuregate.Feature = "DRADeviceTaints""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,DRAPartitionableDevices,"+	DRAPartitionableDevices featuregate.Feature = "DRAPartitionableDevices""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,DRAPrioritizedList,"+	DRAPrioritizedList featuregate.Feature = "DRAPrioritizedList""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,DRAResourceClaimDeviceStatus,"+	DRAResourceClaimDeviceStatus featuregate.Feature = "DRAResourceClaimDeviceStatus""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,AllowInsecureKubeletCertificateSigningRequests,"-	AllowInsecureKubeletCertificateSigningRequests featuregate.Feature = "AllowInsecureKubeletCertificateSigningRequests""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,KubeletRegistrationGetOnExistsOnly,"-	KubeletRegistrationGetOnExistsOnly featuregate.Feature = "KubeletRegistrationGetOnExistsOnly""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,DisableCPUQuotaWithExclusiveCPUs,"+	DisableCPUQuotaWithExclusiveCPUs featuregate.Feature = "DisableCPUQuotaWithExclusiveCPUs""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,DRAAdminAccess,"-	DRAAdminAccess featuregate.Feature = "DRAAdminAccess""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,DRADeviceTaints,"-	DRADeviceTaints featuregate.Feature = "DRADeviceTaints""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,DRAPartitionableDevices,"-	DRAPartitionableDevices featuregate.Feature = "DRAPartitionableDevices""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,DRAPrioritizedList,"-	DRAPrioritizedList featuregate.Feature = "DRAPrioritizedList""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,DRAResourceClaimDeviceStatus,"-	DRAResourceClaimDeviceStatus featuregate.Feature = "DRAResourceClaimDeviceStatus""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,KubeletCrashLoopBackOffMax,"-	KubeletCrashLoopBackOffMax featuregate.Feature = "KubeletCrashLoopBackOffMax""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,ExternalServiceAccountTokenSigner,"+	ExternalServiceAccountTokenSigner featuregate.Feature = "ExternalServiceAccountTokenSigner""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,ImageMaximumGCAge,"+	ImageMaximumGCAge featuregate.Feature = "ImageMaximumGCAge""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,ImageVolume,"+	ImageVolume featuregate.Feature = "ImageVolume""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,KubeletCrashLoopBackOffMax,"+	KubeletCrashLoopBackOffMax featuregate.Feature = "KubeletCrashLoopBackOffMax""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,KubeletPSI,"+	KubeletPSI featuregate.Feature = "KubeletPSI""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,KubeletPSI,"-	KubeletPSI featuregate.Feature = "KubeletPSI""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,KubeletRegistrationGetOnExistsOnly,"+	KubeletRegistrationGetOnExistsOnly featuregate.Feature = "KubeletRegistrationGetOnExistsOnly""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,LoadBalancerIPMode,"+	LoadBalancerIPMode featuregate.Feature = "LoadBalancerIPMode""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,NodeInclusionPolicyInPodTopologySpread,"+	NodeInclusionPolicyInPodTopologySpread featuregate.Feature = "NodeInclusionPolicyInPodTopologySpread""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,PodLogsQuerySplitStreams,"-	PodLogsQuerySplitStreams featuregate.Feature = "PodLogsQuerySplitStreams""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,PodReadyToStartContainersCondition,"-	PodReadyToStartContainersCondition featuregate.Feature = "PodReadyToStartContainersCondition""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,PodLevelResources,"+	PodLevelResources featuregate.Feature = "PodLevelResources""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,PodLogsQuerySplitStreams,"+	PodLogsQuerySplitStreams featuregate.Feature = "PodLogsQuerySplitStreams""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,PodReadyToStartContainersCondition,"+	PodReadyToStartContainersCondition featuregate.Feature = "PodReadyToStartContainersCondition""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,PortForwardWebsockets,"-	PortForwardWebsockets featuregate.Feature = "PortForwardWebsockets""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,PodTopologyLabelsAdmission,"+	PodTopologyLabelsAdmission featuregate.Feature = "PodTopologyLabelsAdmission""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,PortForwardWebsockets,"+	PortForwardWebsockets featuregate.Feature = "PortForwardWebsockets""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,PreventStaticPodAPIReferences,"+	PreventStaticPodAPIReferences featuregate.Feature = "PreventStaticPodAPIReferences""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,SchedulerQueueingHints,"-	SchedulerQueueingHints featuregate.Feature = "SchedulerQueueingHints""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,SELinuxChangePolicy,"+	SELinuxChangePolicy featuregate.Feature = "SELinuxChangePolicy""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,SELinuxMount,"+	SELinuxMount featuregate.Feature = "SELinuxMount""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,SELinuxMountReadWriteOncePod,"+	SELinuxMountReadWriteOncePod featuregate.Feature = "SELinuxMountReadWriteOncePod""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,SchedulerQueueingHints,"+	SchedulerQueueingHints featuregate.Feature = "SchedulerQueueingHints""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,StorageCapacityScoring,"-	StorageCapacityScoring featuregate.Feature = "StorageCapacityScoring""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,StorageCapacityScoring,"+	StorageCapacityScoring featuregate.Feature = "StorageCapacityScoring""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,SupplementalGroupsPolicy,"+	SupplementalGroupsPolicy featuregate.Feature = "SupplementalGroupsPolicy""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,UserNamespacesPodSecurityStandards,"+	UserNamespacesPodSecurityStandards featuregate.Feature = "UserNamespacesPodSecurityStandards""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,WindowsGracefulNodeShutdown,"-	WindowsGracefulNodeShutdown featuregate.Feature = "WindowsGracefulNodeShutdown""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,added,WindowsGracefulNodeShutdown,"+	WindowsGracefulNodeShutdown featuregate.Feature = "WindowsGracefulNodeShutdown""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,NodeInclusionPolicyInPodTopologySpread,"-	NodeInclusionPolicyInPodTopologySpread featuregate.Feature = "NodeInclusionPolicyInPodTopologySpread""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,SELinuxMountReadWriteOncePod,"-	SELinuxMountReadWriteOncePod featuregate.Feature = "SELinuxMountReadWriteOncePod""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,LoadBalancerIPMode,"-	LoadBalancerIPMode featuregate.Feature = "LoadBalancerIPMode""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,ImageMaximumGCAge,"-	ImageMaximumGCAge featuregate.Feature = "ImageMaximumGCAge""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,UserNamespacesPodSecurityStandards,"-	UserNamespacesPodSecurityStandards featuregate.Feature = "UserNamespacesPodSecurityStandards""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,SELinuxMount,"-	SELinuxMount featuregate.Feature = "SELinuxMount""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,SupplementalGroupsPolicy,"-	SupplementalGroupsPolicy featuregate.Feature = "SupplementalGroupsPolicy""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,ImageVolume,"-	ImageVolume featuregate.Feature = "ImageVolume""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,PreventStaticPodAPIReferences,"-	PreventStaticPodAPIReferences featuregate.Feature = "PreventStaticPodAPIReferences""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,SELinuxChangePolicy,"-	SELinuxChangePolicy featuregate.Feature = "SELinuxChangePolicy""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,ExternalServiceAccountTokenSigner,"-	ExternalServiceAccountTokenSigner featuregate.Feature = "ExternalServiceAccountTokenSigner""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,PodLevelResources,"-	PodLevelResources featuregate.Feature = "PodLevelResources""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,DisableCPUQuotaWithExclusiveCPUs,"-	DisableCPUQuotaWithExclusiveCPUs featuregate.Feature = "DisableCPUQuotaWithExclusiveCPUs""
d50e1a684cd53950210041b875ae3a41dac05c33,2025-06-25,removed,PodTopologyLabelsAdmission,"-	PodTopologyLabelsAdmission featuregate.Feature = "PodTopologyLabelsAdmission""
5390f75360d76c280c2a46a84de543d5569aba9a,2025-06-25,added,PreventStaticPodAPIReferences,"+	PreventStaticPodAPIReferences featuregate.Feature = "PreventStaticPodAPIReferences""
ae13d10195807b99c5a877233383a992e00e7cfb,2025-06-24,added,SchedulerAsyncAPICalls,"+	SchedulerAsyncAPICalls featuregate.Feature = "SchedulerAsyncAPICalls""
beb86a8391b0c1c0f651f91a3c6b7d7f6207b0bf,2025-06-06,removed,PodDisruptionConditions,"-	PodDisruptionConditions featuregate.Feature = "PodDisruptionConditions""
b5a8f5d0a50dbfcd6ae18fd0455f75595db60583,2025-06-06,removed,ElasticIndexedJob,"-	ElasticIndexedJob featuregate.Feature = "ElasticIndexedJob""
2bf3d8b733629777c28171a84ee63c9eb91ecc93,2025-06-05,removed,StatefulSetStartOrdinal,"-	StatefulSetStartOrdinal featuregate.Feature = "StatefulSetStartOrdinal""
a3097010faac734fb4956dbc91ae9034d0a9f840,2025-05-08,added,MatchLabelKeysInPodTopologySpreadSelectorMerge,"+	MatchLabelKeysInPodTopologySpreadSelectorMerge featuregate.Feature = "MatchLabelKeysInPodTopologySpreadSelectorMerge""
8db1426554dcd091cdb8f0d78001cfa877b4eb4a,2025-03-27,removed,DeploymentPodReplacementPolicy,"-	DeploymentPodReplacementPolicy featuregate.Feature = "DeploymentPodReplacementPolicy""
8db1426554dcd091cdb8f0d78001cfa877b4eb4a,2025-03-27,added,DeploymentReplicaSetTerminatingReplicas,"+	DeploymentReplicaSetTerminatingReplicas featuregate.Feature = "DeploymentReplicaSetTerminatingReplicas""
70540c9f43e2fb7604924a120799206c27cbbd28,2025-03-25,added,ContainerStopSignals,"+	ContainerStopSignals featuregate.Feature = "ContainerStopSignals""
463b15b9b222bb1c72aa199016daa9eda64271a0,2025-03-14,added,HPAConfigurableTolerance,"+	HPAConfigurableTolerance featuregate.Feature = "HPAConfigurableTolerance""
0882efaf8e6b6a7dcef325e28b19bbea3ad6e646,2024-12-19,removed,CPUManager,"-	CPUManager featuregate.Feature = "CPUManager""
5e7e1e7cf168c8565ffbab2fff3fe65e823770fe,2025-03-03,added,PodTopologyLabelsAdmission,"+	PodTopologyLabelsAdmission featuregate.Feature = "PodTopologyLabelsAdmission""
67bdfa7d6ee3e6d1f0955041559c63e41f990fd4,2025-03-20,added,KubeletPSI,"+	KubeletPSI featuregate.Feature = "KubeletPSI""
deaaa124a5b1a895fa8c516ae2a36137c3b81835,2025-02-18,added,DRAPartitionableDevices,"+	DRAPartitionableDevices featuregate.Feature = "DRAPartitionableDevices""
4435ead24a1b70a2ac2c7c82228a71a9874c4d75,2025-02-11,added,PreferSameTrafficDistribution,"+	PreferSameTrafficDistribution featuregate.Feature = "PreferSameTrafficDistribution""
7fb028a433f0f94e677a5bbe04dfe543de2f2b9a,2025-02-06,added,DRADeviceTaints,"+	DRADeviceTaints featuregate.Feature = "DRADeviceTaints""
7fb028a433f0f94e677a5bbe04dfe543de2f2b9a,2025-02-06,added,DRAResourceClaimDeviceStatus,"+	DRAResourceClaimDeviceStatus featuregate.Feature = "DRAResourceClaimDeviceStatus""
7fb028a433f0f94e677a5bbe04dfe543de2f2b9a,2025-02-06,removed,DRAResourceClaimDeviceStatus,"-	DRAResourceClaimDeviceStatus featuregate.Feature = "DRAResourceClaimDeviceStatus""
c766a52356a277da5e9f29f77aab5212f1b083c6,2025-03-18,added,MutableCSINodeAllocatableCount,"+	MutableCSINodeAllocatableCount featuregate.Feature = "MutableCSINodeAllocatableCount""
bc74476bdb94992312dadcc03e23a0d9b06f562f,2025-02-18,removed,VolumeCapacityPriority,"-	VolumeCapacityPriority featuregate.Feature = "VolumeCapacityPriority""
f6ddee95f9625640720984d9ef8a6c831d56b9cb,2022-05-11,added,StorageCapacityScoring,"+	StorageCapacityScoring featuregate.Feature = "StorageCapacityScoring""
1f04af7947b756cb2ba162ca5393320411a29225,2024-12-19,removed,PersistentVolumeLastPhaseTransitionTime,"-	PersistentVolumeLastPhaseTransitionTime featuregate.Feature = "PersistentVolumeLastPhaseTransitionTime""
282e1490d4357e66a4de9a212dfd43acc158044d,2025-01-31,added,GitRepoVolumeDriver,"+	GitRepoVolumeDriver featuregate.Feature = "GitRepoVolumeDriver""
e549eeb796485a7d912331ec0eeedf868531a845,2024-11-06,added,KubeletEnsureSecretPulledImages,"+	KubeletEnsureSecretPulledImages featuregate.Feature = "KubeletEnsureSecretPulledImages""
8d4eaa024d3d08ede70129e2e938e1e179df7bb3,2025-03-03,added,SchedulerPopFromBackoffQ,"+	SchedulerPopFromBackoffQ featuregate.Feature = "SchedulerPopFromBackoffQ""
256a576651cacb55ef139f82addc9c210d4be23b,2025-02-28,added,ReduceDefaultCrashLoopBackOffDecay,"+	ReduceDefaultCrashLoopBackOffDecay featuregate.Feature = "ReduceDefaultCrashLoopBackOffDecay""
692785d25b688f83db14c20f26d0b99e2e99adb8,2025-02-28,added,StrictIPCIDRValidation,"+	StrictIPCIDRValidation featuregate.Feature = "StrictIPCIDRValidation""
d398de294ddf3a41a27e19e365f34e5b1119d17c,2024-10-25,added,KubeletServiceAccountTokenForCredentialProviders,"+	KubeletServiceAccountTokenForCredentialProviders featuregate.Feature = "KubeletServiceAccountTokenForCredentialProviders""
f5dd7107f7144c4f76ca6159c1eeddb48a12feaa,2024-12-19,added,StreamingCollectionEncodingToProtobuf,"+	StreamingCollectionEncodingToProtobuf featuregate.Feature = "StreamingCollectionEncodingToProtobuf""
989d68d75772b88b0a9bf583a76fba445502653a,2025-03-10,removed,DeclarativeValidationMismatchMetric,"-	DeclarativeValidationMismatchMetric featuregate.Feature = "DeclarativeValidationMismatchMetric""
989d68d75772b88b0a9bf583a76fba445502653a,2025-03-10,added,DeclarativeValidationTakeover,"+	DeclarativeValidationTakeover featuregate.Feature = "DeclarativeValidationTakeover""
40e7d88f022e5c17d442495c5935ea6084e5690d,2025-02-25,added,PodObservedGenerationTracking,"+	PodObservedGenerationTracking featuregate.Feature = "PodObservedGenerationTracking""
00e531f3bf4408dc07afa9bce070a73475360f65,2025-02-06,added,OrderedNamespaceDeletion,"+	OrderedNamespaceDeletion featuregate.Feature = "OrderedNamespaceDeletion""
f12dbc31a9a22ae74a24cf1aa7fd81f5072170ca,2025-02-06,added,OrderedNamespaceDeletion,"+	OrderedNamespaceDeletion featuregate.Feature = "OrderedNamespaceDeletion""
8636d1b4272266d4d4b605c3e41b267b5defe893,2025-02-06,added,OrderedNamespaceDeletion,"+	OrderedNamespaceDeletion featuregate.Feature = "OrderedNamespaceDeletion""
0faebe30fdc98c1b36c2e1e266d5b27207acf6b5,2024-11-12,added,DRAPrioritizedList,"+	DRAPrioritizedList featuregate.Feature = "DRAPrioritizedList""
e7c743b2ebfaed1e3132027c0369ac25b14b6f47,2024-12-19,added,StreamingCollectionEncodingToJSON,"+	StreamingCollectionEncodingToJSON featuregate.Feature = "StreamingCollectionEncodingToJSON""
3010618efee0e85e7b52af822d0368d2f2b4739f,2025-02-27,added,DeclarativeValidation,"+	DeclarativeValidation featuregate.Feature = "DeclarativeValidation""
3010618efee0e85e7b52af822d0368d2f2b4739f,2025-02-27,added,DeclarativeValidationMismatchMetric,"+	DeclarativeValidationMismatchMetric featuregate.Feature = "DeclarativeValidationMismatchMetric""
afa266d7ef933f7aa52eb7700dc0f52cf93ced70,2025-01-07,removed,AppArmor,"-	AppArmor featuregate.Feature = "AppArmor""
2382c0125b3c8a55e9963fd3e663a3c1c25819a2,2025-02-14,removed,DisableCloudProviders,"-	DisableCloudProviders featuregate.Feature = "DisableCloudProviders""
2382c0125b3c8a55e9963fd3e663a3c1c25819a2,2025-02-14,removed,DisableKubeletCloudCredentialProviders,"-	DisableKubeletCloudCredentialProviders featuregate.Feature = "DisableKubeletCloudCredentialProviders""
