version	count	date
v1.10.14-beta.0	0	2019-02-13 11:01:52 +0000
v1.10.2	0	2018-04-26 05:17:57 -0700
v1.10.2-beta.0	0	2018-04-12 14:13:01 +0000
v1.10.3	0	2018-05-19 04:13:33 -0700
v1.10.3-beta.0	0	2018-04-27 09:08:54 +0000
v1.10.4	0	2018-06-04 16:17:46 -0700
v1.10.4-beta.0	0	2018-05-21 09:04:08 +0000
v1.10.5	0	2018-06-19 10:15:32 -0700
v1.10.5-beta.0	0	2018-06-06 07:59:27 +0000
v1.10.6	0	2018-07-25 03:50:07 -0700
v1.10.6-beta.0	0	2018-06-21 11:32:50 +0000
v1.10.7	0	2018-08-17 10:07:33 -0700
v1.10.7-beta.0	0	2018-07-26 10:02:24 +0000
v1.10.8	0	2018-09-13 08:17:15 -0700
v1.10.8-beta.0	0	2018-08-20 09:54:53 +0000
v1.10.9	0	2018-10-14 07:19:19 -0700
v1.10.9-beta.0	0	2018-09-14 15:52:48 +0000
v1.11.0	0	2018-06-27 12:55:42 -0700
v1.11.0-alpha.0	0	2018-02-14 08:51:31 -0800
v1.11.0-alpha.1	0	2018-04-19 11:00:22 -0700
v1.11.0-alpha.2	0	2018-05-01 22:47:19 -0700
v1.11.0-beta.0	0	2018-05-17 02:52:52 +0000
v1.11.0-beta.1	0	2018-05-31 14:24:28 -0400
v1.11.0-beta.2	0	2018-06-07 12:02:40 -0400
v1.11.0-rc.1	0	2018-06-20 16:41:45 -0700
v1.11.0-rc.2	0	2018-06-24 20:03:10 -0700
v1.11.0-rc.3	0	2018-06-26 06:32:40 -0700
v1.11.1	0	2018-07-16 21:20:29 -0700
v1.11.1-beta.0	0	2018-06-27 20:07:04 +0000
v1.11.10	0	2019-04-29 05:36:23 -0700
v1.11.10-beta.0	0	2019-03-25 06:29:07 +0000
v1.11.11-beta.0	0	2019-05-01 04:03:21 +0000
v1.11.2	0	2018-08-07 00:49:07 -0700
v1.11.2-beta.0	0	2018-07-17 18:41:58 +0000
v1.11.3	0	2018-09-07 18:26:22 -0700
v1.11.3-beta.0	0	2018-08-07 23:06:55 +0000
v1.11.4	0	2018-10-22 14:35:10 -0700
v1.11.4-beta.0	0	2018-09-09 17:51:27 +0000
v1.11.5	0	2018-11-26 04:31:24 -0800
v1.11.5-beta.0	0	2018-10-25 19:04:41 +0000
v1.11.6	0	2018-12-13 19:32:51 -0800
v1.11.6-beta.0	0	2018-11-26 14:29:46 +0000
v1.11.7	0	2019-01-18 01:47:46 -0800
v1.11.7-beta.0	0	2018-12-16 04:28:32 +0000
v1.11.8	0	2019-02-22 17:43:07 -0800
v1.11.8-beta.0	0	2019-01-24 19:21:09 +0000
v1.11.9	0	2019-03-21 16:12:18 -0700
v1.11.9-beta.0	0	2019-02-28 18:38:26 +0000
v1.12.0	0	2018-09-25 15:13:05 -0700
v1.12.0-alpha.0	0	2018-05-16 18:47:07 -0700
v1.12.0-alpha.1	0	2018-08-01 15:52:20 -0700
v1.12.0-beta.0	0	2018-08-14 20:33:38 +0000
v1.12.0-beta.1	0	2018-09-04 13:32:17 -0700
v1.12.0-beta.2	0	2018-09-11 15:33:31 -0700
v1.12.0-rc.1	0	2018-09-18 12:36:09 -0700
v1.12.0-rc.2	0	2018-09-21 14:44:59 -0700
v1.12.1	0	2018-10-05 09:26:06 -0700
v1.12.1-beta.0	0	2018-09-27 16:55:00 +0000
v1.12.10	0	2019-06-30 11:29:44 +0800
v1.12.10-beta.0	0	2019-05-27 15:58:02 +0000
v1.12.11-beta.0	0	2019-07-08 03:40:06 +0000
v1.12.2	0	2018-10-23 22:50:31 -0700
v1.12.2-beta.0	0	2018-10-05 16:35:34 +0000
v1.12.3	0	2018-11-26 04:37:46 -0800
v1.12.3-beta.0	0	2018-10-24 06:43:10 +0000
v1.12.4	0	2018-12-12 20:05:24 -0800
v1.12.4-beta.0	0	2018-11-26 12:46:03 +0000
v1.12.5	0	2019-01-15 08:48:55 -0800
v1.12.5-beta.0	0	2018-12-14 06:58:50 +0000
v1.12.6	0	2019-02-25 23:08:18 -0800
v1.12.6-beta.0	0	2019-01-16 18:13:57 +0000
v1.12.7	0	2019-03-21 21:16:28 -0700
v1.12.7-beta.0	0	2019-02-26 12:48:35 +0000
v1.12.8	0	2019-04-21 23:19:44 -0700
v1.12.8-beta.0	0	2019-03-25 02:41:05 +0000
v1.12.9	0	2019-05-22 22:00:25 -0700
v1.12.9-beta.0	0	2019-04-23 04:40:55 +0000
v1.13.0	0	2018-11-30 23:40:04 +0000
v1.13.0-alpha.0	0	2018-08-14 12:22:04 -0700
v1.13.0-alpha.1	0	2018-10-15 13:53:21 -0700
v1.13.0-alpha.2	0	2018-10-24 02:16:11 -0700
v1.13.0-alpha.3	0	2018-10-31 01:07:32 -0700
v1.13.0-beta.0	0	2018-11-07 18:35:18 +0000
v1.13.0-beta.1	0	2018-11-16 20:31:24 -0800
v1.13.0-beta.2	0	2018-11-22 16:41:00 -0800
v1.13.0-rc.1	0	2018-11-27 18:14:13 -0800
v1.13.0-rc.2	0	2018-11-29 11:01:10 +0800
v1.13.1	0	2018-12-12 05:09:31 -0800
v1.13.1-beta.0	0	2018-12-03 20:55:16 +0000
v1.13.10	0	2019-08-17 14:22:06 -0700
v1.13.10-beta.0	0	2019-08-05 09:13:47 +0000
v1.13.11	0	2019-09-13 15:22:00 -0700
v1.13.11-beta.0	0	2019-08-19 10:24:16 +0000
v1.13.12	0	2019-10-09 02:49:51 -0700
v1.13.12-beta.0	0	2019-09-18 14:16:38 +0000
v1.13.13-beta.0	0	2019-10-15 11:44:23 +0000
v1.13.2	0	2019-01-08 23:56:01 -0800
v1.13.2-beta.0	0	2018-12-13 10:30:46 +0000
v1.13.3	0	2019-02-01 09:40:39 -0800
v1.13.3-beta.0	0	2019-01-10 23:27:25 +0000
v1.13.4	0	2019-02-26 23:10:10 -0800
v1.13.4-beta.0	0	2019-02-01 20:00:10 +0000
v1.13.5	0	2019-03-22 13:31:35 -0700
v1.13.5-beta.0	0	2019-02-28 13:29:36 +0000
v1.13.6	0	2019-05-07 11:14:34 -0700
v1.13.6-beta.0	0	2019-03-25 15:18:31 +0000
v1.13.7	0	2019-06-04 12:13:53 -0700
v1.13.7-beta.0	0	2019-05-08 13:45:41 +0000
v1.13.8	0	2019-07-04 04:22:13 -0700
v1.13.8-beta.0	0	2019-06-06 01:38:50 +0000
v1.13.9	0	2019-08-01 16:55:53 -0700
v1.13.9-beta.0	0	2019-07-08 08:38:16 +0000
v1.14.0	0	2019-03-20 22:51:36 -0700
v1.14.0-alpha.0	0	2018-11-07 09:06:18 -0800
v1.14.0-alpha.1	0	2019-01-15 02:46:36 -0800
v1.14.0-alpha.2	0	2019-01-29 01:21:24 -0800
v1.14.0-alpha.3	0	2019-02-12 00:19:06 -0800
v1.14.0-beta.0	0	2019-02-19 13:55:18 +0000
v1.14.0-beta.1	0	2019-02-26 09:44:59 +0000
v1.14.0-beta.2	0	2019-03-12 09:22:01 +0000
v1.14.0-rc.1	0	2019-03-19 13:07:18 +0000
v1.14.1	0	2019-04-05 15:50:29 -0700
v1.14.1-beta.0	0	2019-03-25 15:44:31 +0000
v1.14.10	0	2019-12-11 12:10:21 +0000
v1.14.10-beta.0	0	2019-11-13 10:48:57 +0000
v1.14.11-beta.0	0	2019-12-11 12:10:21 +0000
v1.14.11-beta.1	0	2019-12-11 13:29:06 +0000
v1.14.2	0	2019-05-14 03:01:17 -0700
v1.14.2-beta.0	0	2019-04-08 17:02:01 +0000
v1.14.3	0	2019-06-04 11:15:53 -0700
v1.14.3-beta.0	0	2019-05-16 16:13:57 +0000
v1.14.4	0	2019-07-04 04:18:13 -0700
v1.14.4-beta.0	0	2019-06-06 01:35:29 +0000
v1.14.5	0	2019-08-01 16:55:53 -0700
v1.14.5-beta.0	0	2019-07-08 08:42:21 +0000
v1.14.6	0	2019-08-16 14:34:12 -0700
v1.14.6-beta.0	0	2019-08-05 09:12:17 +0000
v1.14.7	0	2019-09-13 18:58:40 -0700
v1.14.7-beta.0	0	2019-08-19 10:42:25 +0000
v1.14.8	0	2019-10-11 21:12:38 -0700
v1.14.8-beta.0	0	2019-09-18 14:16:43 +0000
v1.14.9	0	2019-11-08 22:05:39 -0800
v1.14.9-beta.0	0	2019-10-15 11:38:49 +0000
v1.15.0	90	2019-06-14 17:58:09 -0700
v1.15.0-alpha.0	0	2019-02-19 04:55:32 -0800
v1.15.0-alpha.1	0	2019-04-16 13:55:10 -0700
v1.15.0-alpha.2	0	2019-04-29 10:44:20 -0700
v1.15.0-alpha.3	0	2019-05-07 09:52:10 -0700
v1.15.0-beta.0	82	2019-05-14 14:00:22 +0000
v1.15.0-beta.1	82	2019-05-28 13:24:16 +0000
v1.15.0-beta.2	89	2019-06-05 02:16:14 +0000
v1.15.0-rc.1	90	2019-06-11 21:13:00 +0000
v1.15.1	90	2019-07-09 20:26:38 -0700
v1.15.1-beta.0	90	2019-06-19 16:31:22 +0000
v1.15.10	90	2020-02-11 20:04:34 +0000
v1.15.10-beta.0	90	2020-01-18 23:23:34 +0000
v1.15.11	90	2020-03-12 20:59:18 +0000
v1.15.11-beta.0	90	2020-02-11 20:04:35 +0000
v1.15.12	90	2020-05-06 05:09:02 +0000
v1.15.12-beta.0	90	2020-03-12 20:59:18 +0000
v1.15.13-beta.0	90	2020-05-06 05:09:02 +0000
v1.15.2	90	2019-08-01 16:53:52 -0700
v1.15.2-beta.0	90	2019-07-18 09:08:29 +0000
v1.15.3	90	2019-08-16 16:14:10 -0700
v1.15.3-beta.0	90	2019-08-05 09:14:29 +0000
v1.15.4	90	2019-09-13 16:02:00 -0700
v1.15.4-beta.0	90	2019-08-19 10:44:06 +0000
v1.15.5	90	2019-10-11 18:30:40 -0700
v1.15.5-beta.0	90	2019-09-18 14:17:09 +0000
v1.15.6	90	2019-11-08 21:31:39 -0800
v1.15.6-beta.0	90	2019-10-15 18:44:06 +0000
v1.15.7	90	2019-12-11 12:10:55 +0000
v1.15.7-beta.0	90	2019-11-13 10:48:52 +0000
v1.15.8	90	2020-01-10 17:39:50 -0800
v1.15.8-beta.0	90	2019-12-11 12:10:55 +0000
v1.15.8-beta.1	90	2019-12-11 13:30:12 +0000
v1.15.9	90	2020-01-17 15:26:09 -0800
v1.15.9-beta.0	90	2020-01-10 17:39:50 -0800
v1.16.0	95	2019-09-13 14:56:53 +0000
v1.16.0-alpha.0	82	2019-05-14 05:31:14 -0700
v1.16.0-alpha.1	87	2019-07-16 17:37:25 -0700
v1.16.0-alpha.2	90	2019-07-30 03:35:44 -0700
v1.16.0-alpha.3	90	2019-08-07 07:02:50 -0700
v1.16.0-beta.0	91	2019-08-13 09:01:08 +0000
v1.16.0-beta.1	90	2019-08-20 03:48:09 -0400
v1.16.0-beta.2	95	2019-09-04 14:53:14 +0000
v1.16.0-rc.1	95	2019-09-10 03:47:38 +0000
v1.16.0-rc.2	95	2019-09-13 00:34:33 -0700
v1.16.1	95	2019-09-30 21:37:32 -0700
v1.16.1-beta.0	95	2019-09-18 14:01:19 +0000
v1.16.10	95	2020-05-20 13:51:06 +0000
v1.16.10-beta.0	95	2020-04-16 11:35:29 +0000
v1.16.11	95	2020-06-17 11:40:40 +0000
v1.16.11-rc.0	95	2020-05-20 13:51:07 +0000
v1.16.12	95	2020-06-26 03:32:40 +0000
v1.16.12-rc.0	95	2020-06-17 11:40:41 +0000
v1.16.12-rc.1	95	2020-06-25 16:22:59 +0000
v1.16.13	95	2020-07-15 16:09:28 +0000
v1.16.13-rc.0	95	2020-06-26 03:32:41 +0000
v1.16.14	95	2020-08-13 12:24:03 +0000
v1.16.14-rc.0	95	2020-07-15 16:09:29 +0000
v1.16.15	95	2020-09-02 11:30:35 +0000
v1.16.15-rc.0	95	2020-08-13 12:24:04 +0000
v1.16.16-rc.0	95	2020-09-02 11:30:36 +0000
v1.16.2	95	2019-10-11 21:42:37 -0700
v1.16.2-beta.0	95	2019-10-02 16:25:54 +0000
v1.16.3	95	2019-11-10 14:43:36 -0800
v1.16.3-beta.0	95	2019-10-15 18:44:11 +0000
v1.16.4	95	2019-12-11 12:11:07 +0000
v1.16.4-beta.0	95	2019-11-13 10:48:55 +0000
v1.16.5	95	2020-01-10 17:41:37 -0800
v1.16.5-beta.0	95	2019-12-11 12:11:07 +0000
v1.16.5-beta.1	95	2019-12-11 13:35:52 +0000
v1.16.6	95	2020-01-17 15:18:09 -0800
v1.16.6-beta.0	95	2020-01-10 17:41:37 -0800
v1.16.7	95	2020-02-11 19:23:51 +0000
v1.16.7-beta.0	95	2020-01-18 23:22:34 +0000
v1.16.8	95	2020-03-12 20:51:35 +0000
v1.16.8-beta.0	95	2020-02-11 19:23:52 +0000
v1.16.9	95	2020-04-16 11:35:28 +0000
v1.16.9-beta.0	95	2020-03-12 20:51:36 +0000
v1.17.0	99	2019-12-05 17:25:03 -0800
v1.17.0-alpha.0	91	2019-08-13 00:03:39 -0700
v1.17.0-alpha.1	92	2019-10-02 20:52:33 +0000
v1.17.0-alpha.2	92	2019-10-15 01:15:52 -0700
v1.17.0-alpha.3	93	2019-10-22 05:41:21 -0700
v1.17.0-beta.0	94	2019-10-29 16:45:30 +0000
v1.17.0-beta.1	93	2019-11-05 13:52:02 +0000
v1.17.0-beta.2	99	2019-11-17 11:08:01 +0000
v1.17.0-rc.1	99	2019-11-22 16:36:14 +0000
v1.17.0-rc.2	99	2019-12-02 16:44:59 -0800
v1.17.1	99	2020-01-10 17:43:37 -0800
v1.17.1-beta.0	99	2019-12-07 20:50:49 +0000
v1.17.10	99	2020-08-12 20:17:21 +0000
v1.17.10-rc.0	99	2020-07-15 16:09:57 +0000
v1.17.11	99	2020-08-13 15:10:54 +0000
v1.17.11-rc.0	99	2020-08-12 20:17:22 +0000
v1.17.11-rc.1	99	2020-08-12 18:46:14 -0700
v1.17.12	99	2020-09-16 13:31:24 +0000
v1.17.12-rc.0	99	2020-08-13 15:10:55 +0000
v1.17.13	99	2020-10-15 00:58:31 +0000
v1.17.13-rc.0	99	2020-09-16 13:31:24 +0000
v1.17.14	99	2020-11-11 13:03:09 +0000
v1.17.14-rc.0	99	2020-10-15 00:58:32 +0000
v1.17.15	99	2020-12-04 03:38:00 -0800
v1.17.15-rc.0	99	2020-11-11 13:03:10 +0000
v1.17.16	99	2020-12-18 12:06:29 +0000
v1.17.16-rc.0	99	2020-12-04 03:38:00 -0800
v1.17.16-rc.1	99	2020-12-09 12:08:09 +0000
v1.17.17	99	2021-01-13 13:12:19 +0000
v1.17.17-rc.0	99	2020-12-18 12:06:29 +0000
v1.17.18-rc.0	99	2021-01-13 13:12:20 +0000
v1.17.2	99	2020-01-17 16:18:09 -0800
v1.17.2-beta.0	99	2020-01-14 21:38:56 +0000
v1.17.3	99	2020-02-11 18:06:26 +0000
v1.17.3-beta.0	99	2020-01-18 23:21:44 +0000
v1.17.4	99	2020-03-12 20:54:31 +0000
v1.17.4-beta.0	99	2020-02-11 18:06:26 +0000
v1.17.5	99	2020-04-16 11:34:57 +0000
v1.17.5-beta.0	99	2020-03-12 20:54:32 +0000
v1.17.6	99	2020-05-20 13:07:45 +0000
v1.17.6-beta.0	99	2020-04-16 11:34:58 +0000
v1.17.7	99	2020-06-17 11:31:31 +0000
v1.17.7-rc.0	99	2020-05-20 13:07:45 +0000
v1.17.8	99	2020-06-26 03:35:14 +0000
v1.17.8-rc.0	99	2020-06-17 11:31:32 +0000
v1.17.8-rc.1	99	2020-06-25 16:18:15 +0000
v1.17.9	99	2020-07-15 16:09:57 +0000
v1.17.9-rc.0	99	2020-06-26 03:35:15 +0000
v1.18.0	100	2020-03-25 14:49:52 +0000
v1.18.0-alpha.0	94	2019-10-29 08:22:43 -0700
v1.18.0-alpha.1	99	2019-12-18 00:58:20 -0800
v1.18.0-alpha.2	97	2020-01-21 01:30:09 -0800
v1.18.0-alpha.3	92	2020-02-04 16:31:11 +0000
v1.18.0-alpha.4	93	2020-02-12 07:48:52 -0800
v1.18.0-alpha.5	93	2020-02-12 10:36:51 -0800
v1.18.0-beta.0	94	2020-02-18 17:07:45 +0000
v1.18.0-beta.1	96	2020-02-26 12:34:27 +0000
v1.18.0-beta.2	99	2020-03-10 19:31:34 +0000
v1.18.0-rc.1	100	2020-03-17 17:08:12 +0000
v1.18.1	100	2020-04-08 17:29:55 +0000
v1.18.1-beta.0	100	2020-03-25 14:49:52 +0000
v1.18.10	100	2020-10-15 01:43:02 +0000
v1.18.10-rc.0	100	2020-09-16 13:46:49 +0000
v1.18.11	100	2020-11-11 13:09:50 +0000
v1.18.11-rc.0	100	2020-10-15 01:43:03 +0000
v1.18.12	100	2020-11-12 09:10:25 +0000
v1.18.12-rc.1	100	2020-11-05 12:40:51 -0800
v1.18.13	100	2020-12-04 03:41:59 -0800
v1.18.13-rc.0	100	2020-11-12 09:10:26 +0000
v1.18.14	100	2020-12-18 12:01:50 +0000
v1.18.14-rc.0	100	2020-12-04 03:41:59 -0800
v1.18.14-rc.1	100	2020-12-09 12:17:14 +0000
v1.18.15	100	2021-01-13 13:13:20 +0000
v1.18.15-rc.0	100	2020-12-18 12:01:51 +0000
v1.18.16	100	2021-02-17 11:51:44 +0000
v1.18.16-rc.0	100	2021-01-13 13:13:20 +0000
v1.18.17	100	2021-03-18 00:53:18 +0000
v1.18.17-rc.0	100	2021-02-17 11:51:44 +0000
v1.18.18	100	2021-04-15 03:22:57 +0000
v1.18.18-rc.0	100	2021-03-18 00:53:18 +0000
v1.18.19	100	2021-05-12 11:21:13 +0000
v1.18.19-rc.0	100	2021-04-15 03:22:57 +0000
v1.18.2	100	2020-04-16 11:47:43 +0000
v1.18.2-beta.0	100	2020-04-08 17:29:55 +0000
v1.18.20	100	2021-06-16 12:50:36 +0000
v1.18.20-rc.0	100	2021-05-12 11:21:13 +0000
v1.18.21-rc.0	100	2021-06-16 12:50:37 +0000
v1.18.3	100	2020-05-20 12:42:40 +0000
v1.18.3-beta.0	100	2020-04-16 11:47:44 +0000
v1.18.4	100	2020-06-17 11:33:09 +0000
v1.18.4-rc.0	100	2020-05-20 12:42:41 +0000
v1.18.5	100	2020-06-26 03:38:30 +0000
v1.18.5-rc.0	100	2020-06-17 11:33:10 +0000
v1.18.5-rc.1	100	2020-06-25 16:20:01 +0000
v1.18.6	100	2020-07-15 16:50:12 +0000
v1.18.6-rc.0	100	2020-06-26 03:38:31 +0000
v1.18.7	100	2020-08-12 20:18:34 +0000
