project	toggle	date
gitlab	packages_debian_project_distributions	
gitlab	upcoming_reconciliations	
gitlab	vulnerability_user_mentions	
gitlab	backup_finding_evidences	
gitlab	namespace_ai_settings	
gitlab	projects_visits	
gitlab	audit_events_group_external_streaming_destinations	
gitlab	ci_runner_machines	
gitlab	user_credit_card_validations	
gitlab	internal_ids	
gitlab	epic_issues	
gitlab	analytics_dashboards_pointers	
gitlab	user_namespace_callouts	
gitlab	packages_debian_project_distribution_keys	
gitlab	vulnerability_representation_information	
gitlab	issuable_metric_image_uploads	
gitlab	user_agent_details	
gitlab	sentry_issues	
gitlab	environments	
gitlab	ai_catalog_items	
gitlab	merge_request_context_commits	
gitlab	vulnerability_namespace_statistics	
gitlab	ci_runners	
gitlab	project_saved_replies	
gitlab	targeted_message_dismissals	
gitlab	project_type_ci_runner_machines	
gitlab	approval_group_rules	
gitlab	job_environments	
gitlab	ci_instance_runner_monthly_usages	
gitlab	observability_group_o11y_settings	
gitlab	workspace_agentk_states	
gitlab	vulnerability_state_transitions	
gitlab	audit_events_instance_google_cloud_logging_configurations	
gitlab	packages_debian_group_distribution_keys	
gitlab	packages_package_files	
gitlab	work_item_weights_sources	
gitlab	compliance_requirements	
gitlab	packages_nuget_metadata	
gitlab	ci_pipeline_artifacts	
gitlab	virtual_registries_container_cache_entries	
gitlab	design_management_repository_states	
gitlab	vulnerability_archives	
gitlab	issuable_severities	
gitlab	protected_branch_unprotect_access_levels	
gitlab	user_permission_export_uploads	
gitlab	audit_events_instance_external_streaming_destinations	
gitlab	term_agreements	
gitlab	issue_assignees	
gitlab	organization_settings	
gitlab	gitlab_subscriptions	
gitlab	note_metadata	
gitlab	design_management_action_uploads	
gitlab	terraform_state_versions	
gitlab	project_repository_storage_moves	
gitlab	packages_rpm_repository_files	
gitlab	ci_job_token_authorizations	
gitlab	group_import_states	
gitlab	work_item_custom_statuses	
gitlab	external_pull_requests	
gitlab	oauth_access_tokens	
gitlab	approval_merge_request_rules_approved_approvers	
gitlab	suggestions	
gitlab	operations_feature_flags	
gitlab	approval_merge_request_rules	
gitlab	security_policy_requirements	
gitlab	group_deploy_tokens	
gitlab	atlassian_identities	
gitlab	verification_codes	
gitlab	saml_group_links	
gitlab	ml_model_metadata	
gitlab	sbom_components	
gitlab	approval_merge_request_rules_users	
gitlab	ml_model_versions	
gitlab	dast_site_validations	
gitlab	work_item_types	
gitlab	ci_namespace_monthly_usages	
gitlab	vulnerability_findings_remediations	
gitlab	instance_integrations	
gitlab	packages_debian_project_components	
gitlab	incident_management_pending_alert_escalations	
gitlab	vulnerability_archived_records	
gitlab	pm_checkpoints	
gitlab	vulnerability_statistics	
gitlab	vulnerability_merge_request_links	
gitlab	backup_finding_links	
gitlab	incident_management_escalation_rules	
gitlab	namespace_aggregation_schedules	
